contributor_employer,employer_categories,cleaned_boss,number_jobs,num_donations,total_donations
SHULMAN ROGERS,SHULMAN ROGERS,SHULMAN ROGERS,3,3,1800
SIDLEY AUSTIN LLP,SIDLEY AUSTIN L.L.P.,SIDLEY AUSTIN L.L.P.,3,3,4500
SMITHSONIAN INSTITUTION,SMITHSONIAN INSTITUTION,SMITHSONIAN INSTITUTION,3,3,417.5
ST AGNES HOSPITAL,ST AGNES HOSPITAL,ST AGNES HOSPITAL,3,3,395
STATE FARM INSURANCE,STATE FARM INSURANCE,STATE FARM INSURANCE,3,3,355
STELLAR DEVELOPMENT FOUNDATION,STELLAR DEVELOPMENT FOUNDATION,STELLAR DEVELOPMENT FOUNDATION,3,3,3000
"STEPTOE & JOHNSON, LLP",STEPTOE  JOHNSON,STEPTOE  JOHNSON,3,3,1250
SUNNY SLAUGHTER CONSULTING LLC,SUNNY SLAUGHTER CONSULTING LLC,SUNNY SLAUGHTER CONSULTING LLC,3,3,1500.0099999999998
T. ROWE PRICE,T. ROWE PRICE,T. ROWE PRICE,3,3,1658.2
TADESSE & ASSOCIATES INC,TADESSE & ASSOCIATES INC,TADESSE & ASSOCIATES INC,3,3,283
THE COCA-COLA COMPANY,THE COCA-COLA COMPANY,THE COCA-COLA COMPANY,3,3,1500
THE MADISON GROUP LLC,THE MADISON GROUP LLC,THE MADISON GROUP LLC,3,3,5550
THE ROOSEVELT GROUP,THE ROOSEVELT GROUP,THE ROOSEVELT GROUP,3,3,5800
TODD STRATEGY GROUP,TODD STRATEGY GROUP,TODD STRATEGY GROUP,3,3,9000
TOWN OF SOMERSET,TOWN OF SOMERSET,TOWN OF SOMERSET,3,3,3000
TOWSON UNIVERSITY,TOWSON UNIVERSITY,TOWSON UNIVERSITY,3,3,1000
U.S. EPA,US GOV,U.S. EPA,3,3,428
UMMS,UMMS,UMMS,3,3,1325
UNITED AIRLINES,UNITED AIRLINES,UNITE AIRLINES,3,3,3925
UNITED STATES DEPARTMENT OF AGRICULTUR,US GOV,UNITED STATES DEPARTMENT OF AGRICULTUR,3,3,2925
UNIVERSITY OF MARYLAND COLLEGE PARK,UNIVERSITY OF MARYLAND COLLEGE PARK,UNIVERSITY OF MARYLAND COLLEGE PARK,3,3,188
URBAN ONE INC,URBAN ONE INC,URBAN ONE INC,3,3,10800
US DEPARTMENT OF COMMERCE,US GOV,DEPARTMENT OF COMMERCE,3,3,1325
US DEPARTMENT OF ENERGY,US GOV,DEPARTMENT OF ENERGY,3,3,3700
US DEPARTMENT OF HEALTH SERVICES,US GOV,US DEPARTMENT OF HEALTH SERVICES,3,3,225
US DEPARTMENT OF VETERANS AFFAIRS,US GOV,DEPARTMENT OF VETERANS AFFAIRS,3,3,950
US DEPT OF COMMERCE,US GOV,U.S. DEPT. OF COMMERCE,3,3,330
US DEPT OF STATE,US GOV,U.S. DEPT OF STATE,3,3,1250
US DHHS,US GOV,US DHHS,3,3,920.72
US DREAM ACADEMY,US DREAM ACADEMY,US DREAM ACADEMY,3,3,1803
US GOV'T,US GOV,US GOV'T,3,3,4400
US GOVT,US GOV,US GOV'T,3,3,1500
USAID,USAID,USAID,3,3,3860.25
VENN STRATEGIES,VENN STRATEGIES,VENN STRATEGIES,3,3,8000
WALMART INC,WALMART INC,WALMART INC,3,3,1030
WESTAT,WESTAT,WESTAT,3,3,2992.86
WILEY REIN LLP,WILEY REIN LLP,WILEY REIN LLP,3,3,1500
50 STATE,50 STATE,50 STATE,2,2,2000
510 VENTURES LLC,510 VENTURES LLC,510 VENTURES LLC,2,2,2000
AACPS,AACPS,AACPS,2,2,766.66
AAMG,AAMG,AAMG,2,2,1463
AARP,AARP,AARP,2,2,426
ABC OF METRO WASHINGTON,ABC OF METRO WASHINGTON,ABC OF METRO WASHINGTON,2,2,500
ABT GLOBAL,ABT GLOBAL,ABT GLOBAL,2,2,500
ACGI SOFTWARE,ACGI SOFTWARE,ACGI SOFTWARE,2,2,2225
ACTUM,ACTUM,ACTUM,2,2,2250
ADESSO GROUP,ADESSO GROUP,ADESSO GROUP,2,2,7600
ADVANCING AMERICAN FREEDOM,ADVANCING AMERICAN FREEDOM,ADVANCING AMERICAN FREEDOM,2,2,600
AFM,AFM,AFM,2,2,587
AFPM,AFPM,AFPM,2,2,4300
AFSCME,AFSCME,AFSCME,2,2,550
AIR PLENUM,AIR PLENUM,AIR PLENUM,2,2,50
AIRCRAFT OWNERS AND PILOTS ASSOCIATION,AIRCRAFT OWNERS AND PILOTS ASSOCIATION,AIRCRAFT OWNERS AND PILOTS ASSOCIATION,2,2,1000
AIRPORT SOUTH CORPORATION,AIRPORT SOUTH CORPORATION,AIRPORT SOUTH CORPORATION,2,2,700
AKIN GUMP,AKIN GUMP,AKIN GUMP,2,2,1000
AKIN GUMP LLP,AKIN GUMP LLP,AKIN GUMP LLP,2,2,2000
ALBERTSONS,ALBERTSONS,ALBERTSONS,2,2,1645.5
"ALEXTON, INC.","ALEXTON, INC.","ALEXTON, INC.",2,2,250
ALIGNMENT GOVERNMENT STRATEGIES,ALIGNMENT GOVERNMENT STRATEGIES,ALIGNMENT GOVERNMENT STRATEGIES,2,2,5100
ALVAREZ & MARSAL,ALVAREZ & MARSAL,ALVAREZ & MARSAL,2,2,9900
AMAZON,AMAZON,AMAZON,2,2,1114
AMERICA FIRST LEGAL,AMERICA FIRST LEGAL,AMERICA FIRST LEGAL,2,2,1500
AMERICAN AIRLINES,AMERICAN AIRLINES,AMERICAN AIRLINES,2,2,554
AMERICAN CANCER SOCIETY CANCER ACTION,AMERICAN CANCER SOCIETY CANCER ACTION,AMERICAN CANCER SOCIETY CANCER ACTION,2,2,436.64
AMERICAN CLEANING INSTITUTE,AMERICAN CLEANING INSTITUTE,AMERICAN CLEANING INSTITUTE,2,2,1250
"AMERICAN DEFENSE INTERNATIONAL, INC.",AMERICAN DEFENSE INTERNATIONAL INC,AMERICAN DEFENSE INTERNATIONAL INC,2,2,3185
AMERICAN INSTITUTES FOR RESEARCH,AMERICAN INSTITUTES FOR RESEARCH,AMERICAN INSTITUTES FOR RESEARCH,2,2,1375
AMERICAN PURPOSE,AMERICAN PURPOSE,AMERICAN PROPERTY CASUALTY INSURANCE A,2,2,1250
AMERICAN RED CROSS,AMERICAN RED CROSS,AMERICAN RED CROSS,2,2,574
AMERICAN TRADING AND PRODUCTION CORPOR,AMERICAN TRADING AND PRODUCTION CORP,AMERICAN TRADING AND PRODUCTION CORP,2,2,1300
AMERICAN UNIVERSITY WASHINGTON COLLEGE,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY,2,2,1250
AMERICANS FOR CARBON DIVIDENDS,AMERICANS FOR CARBON DIVIDENDS,AMERICANS FOR CARBON DIVIDENDS,2,2,1000
AMERICANS FOR FINANCIAL REFORM,AMERICANS FOR FINANCIAL REFORM,AMERICANS FOR FINANCIAL REFORM,2,2,250
AMY E VAN CANNON,AMY E VAN CANNON,AMY E VAN CANNON,2,2,900
AMY VON CANNON,AMY E VAN CANNON,AMY VON CANNON,2,2,650
ANALYSIS GROUP,ANALYSIS GROUP,ANALYSIS GROUP,2,2,3600
ANIC ITALIA,ANIC ITALIA,ANIC ITALIA,2,2,559.21
ANNAPOLIS MICRO SYSTEMS,ANNAPOLIS MICRO SYSTEMS,ANNAPOLIS MICRO SYSTEMS,2,2,2500
ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,ANNE ARUNDEL COUNTY,ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,2,2,115
ANNE ARUNDEL DERMATOLOGY,ANNE ARUNDEL DERMATOLOGY,ANNE ARUNDEL DERMATOLOGY,2,2,1020.51
AOTA,AOTA,AOTA,2,2,215.72
ARC INC.,ARC INC.,ARC INC.,2,2,100.6
ARENT FOX LLP,ARENT FOX LLP,ARENT FOX LLP,2,2,750
ARENTFOX SCHIFF LLP,ARENTFOX SCHIFF LLP,ARENTFOX SCHIFF LLP,2,2,2500.24
"ARNOLD & PORTER, LLP",ARNOLD & PORTER LLP,ARNOLD & PORTER LLP,2,2,2600
ARRISA DESIGN STUDIOINC.,ARRISA DESIGN STUDIOINC.,ARRISA DESIGN STUDIOINC.,2,2,150
ARROW PARKING CORP,ARROW PARKING CORP,ARROW PARKING CORP,2,2,4000
ASSOCIATION & GOVT REL MGMT,ASSOCIATION & GOVT REL MGMT,ASSOCIATION & GOVT REL MGMT,2,2,2750
AT&T GLOBAL BUSINESS,AT&T GLOBAL BUSINESS,AT&T GLOBAL BUSINESS,2,2,110
AT&T INC,AT&T INC,AT&T INC,2,2,1050
ATTORNEY,ATTORNEY,ATTORNEY,2,2,2250
AURELIA SALON\SPA,AURELIA SALON\SPA,AURELIA SALON\SPA,2,2,3325
AVALERE,AVALERE,AVALERE,2,2,1500
AVANT GARDE LLC,AVANT GARDE LLC,AVANT GARDE LLC,2,2,2625
AVENUE SOLUTIONS LLC,AVENUE SOLUTIONS,AVENUE SOLUTIONS,2,2,5000
BAH,BAH,BAH,2,2,786.15
BAKER DONELSON,BAKER DONELSON,BAKER DONELSON,2,2,2142.85
BAKER TILLY,BAKER TILLY,BAKER TILLY,2,2,5300
BALLARD SPAHR,BALLARD SPAHR,BALLARD SPAHR,2,2,550
BALTIMORE COMMUNITY FOUNDATION,BALTIMORE COMMUNITY FOUNDATION,BALTIMORE COMMUNITY FOUNDATION,2,2,1250
BALTIMORE COUNTY MARYLAND,BALTIMORE COUNTY,BALTIMORE COUNTY MARYLAND,2,2,850
BANKING SERVICES CORP,BANKING SERVICES CORP,BANKING SERVICES CORP,2,2,12450
BCC BASEBAL INC,BCC BASEBAL INC,BCC BASEBAL INC,2,2,628
BETH GRUPP ASSOCIATES,BETH GRUPP ASSOCIATES,BETH GRUPP ASSOCIATES,2,2,500
BGE,BGE,BGE,2,2,525
BGR,BGR,BGR,2,2,3500
BIRTHRIGHT ISRAEL,BIRTHRIGHT ISRAEL,BIRTHRIGHT ISRAEL,2,2,1000
BLANK ROME LLP,BLANK ROME LLP,BLANK ROME,2,2,2500
BLOUNT,BLOUNT,BLOUNT,2,2,500
BLUE SHIELD OF CALIFORNIA,BLUE SHIELD OF CALIFORNIA,BLUE SHIELD OF CALIFORNIA,2,2,1750
BMG MANAGEMENT,BMG MANAGEMENT,BMG MANAGEMENT,2,2,400
BOLAND,BOLAND,BOLAND,2,2,296.7
BOWIE STATE UNIVERSITY,BOWIE STATE UNIVERSITY,BOWIE STATE UNIVERSITY,2,2,350
BRANDYWINE AUTO PARTS,BRANDYWINE AUTO PARTS,BRANDYWINE AUTO PARTS,2,2,2000
BREDHOFF & KAISER PLLC,BREDHOFF & KAISER PLLC,BREDHOFF & KAISER PLLC,2,2,1489.6399999999999
BRENNAN TITLE COMPANY,BRENNAN TITLE COMPANY,BRENNAN TITLE COMPANY,2,2,2400
BRG,BRG,BRG,2,2,550
BRISTOL-MYERS SQUIBB,BRISTOL MYERS SQUIBB,BRISTOL MYERS SQUIBB,2,2,1500
BROWN CAPITAL MANAGEMENT,BROWN CAPITAL MANAGEMENT,BROWN CAPITAL MANAGEMENT,2,2,6560
BROWNSTEIN,BROWNSTEIN,BROWNSTEIN,2,2,3500
BRUCE A FO,BRUCE A FO,BRUCE A FO,2,2,4238.85
BRUCE A FOWLER,BRUCE A FOWLER,BRUCE A FOWLER,2,2,1806
BSC AMERICA,BSC AMERICA,BSC AMERICA INC,2,2,750
BUCHANAN PARTNERS,BUCHANAN PARTNERS,BUCHANAN PARTNERS,2,2,500
BULLIS SCHOOL,BULLIS SCHOOL,BULLIS SCHOOL,2,2,1000
CACI,CACI,CACI,2,2,950
CAPITAL ONE,CAPITAL ONE,CAPITAL ONE,2,2,3800
CAPITOL TAX PARTNERS,CAPITOL TAX PARTNERS,CAPITOL TAX PARTNERS,2,2,1500
CARROLL INDEPENDENT FUEL,CARROLL INDEPENDENT FUEL LLC,CARROLL INDEPENDENT FUEL LLC,2,2,5100
CATHOLIC UNIVERSITY,CATHOLIC UNIVERSITY,CATHOLIC UNIVERSITY,2,2,262.5
CCBC,CCBC,CCBC,2,2,160
CCS,CCS,CCS,2,2,212
"CDI METERS, INC.",CDI METERS INC.,CDI METERS INC.,2,2,2750
CENTER ON BUDGET AND POLICY PRIORITIES,CENTER ON BUDGET AND POLICY PRIORITIES,CENTER ON BUDGET AND POLICY PRIORITIES,2,2,500
CGCN GROUP,CGCN GROUP,CGCN GROUP,2,2,1000
CHESAPEAKE NETCRAFTSMEN,CHESAPEAKE NETCRAFTSMEN,CHESAPEAKE NETCRAFTSMEN,2,2,2100
CHILDFOCUS,CHILDFOCUS,CHILDFOCUS,2,2,1500
CHILDREN'S NATIONAL MEDICAL CENTER,CHILDREN'S NATIONAL HOSPITAL,CHILDREN'S NATIONAL HOSPITAL,2,2,1450
CIENA,CIENA,CIENA,2,2,400
CIGNA,CIGNA,CIGNA,2,2,869.52
CISCO,CISCO,CISCO,2,2,1028
CITY OF BALTIMORE,CITY OF BALTIMORE,CITY OF BALTIMORE,2,2,600
CITY OF TAKOMA PARK,CITY OF TAKOMA PARK,CITY OF TAKOMA PARK,2,2,350
CLEAR,CLEAR,CLEAR,2,2,1500
CLEARWAY PAIN SOLUTIONS,CLEARWAY PAIN SOLUTIONS,CLEARWAY PAIN SOLUTIONS,2,2,3550
CMS,CMS,CMS,2,2,328
COALITION ON HUMAN NEEDS,COALITION ON HUMAN NEEDS,COALITION ON HUMAN NEEDS,2,2,4025
COHEN MILSTEIN SELLERS & TOLL PLLC,COHEN MILSTEIN SELLERS & TOLL PLLC,COHEN MILSTEIN SELLERS & TOLL PLLC,2,2,2000.24
COLLINS AEROSPACE,COLLINS AEROSPACE,COLLINS AEROSPACE,2,2,2520.51
COMFORCARE HOME CARE,COMFORCARE HOME CARE,COMFORCARE HOME CARE,2,2,1025
CONSTANTINE CANNON LLP,CONSTANTINE CANNON LLP,CONSTANTINE CANNON LLP,2,2,1575
CONSULTANT,CONSULTANT,CONSULTANT,2,2,451
CP MANAGEMENT LLC,CP MANAGEMENT LLC,CP MANAGEMENT LLC,2,2,4600
CPB,CPB,CPB,2,2,4378.75
CPI,CPI,CPI,2,2,350
CSRA,CSRA,CSRA,2,2,300
CT GROUP,CT GROUP,CT GROUP,2,2,500
CURIO WELLNESS,CURIO WELLNESS,CURIO WELLNESS,2,2,5500
CUSTOMERFIRST RENEWABLES,CUSTOMERFIRST RENEWABLES,CUSTOMERFIRST RENEWABLES,2,2,1700
D&P CREATIVE STRATEGIES,D&P CREATIVE STRATEGIES LLC,D&P CREATIVE STRATEGIES LLC,2,2,5000
DAI,DAI,DAI,2,2,8455.2
DAVID LLOYD KREEGER FOUNDATION,DAVID LLOYD KREEGER FOUNDATION,DAVID LLOYD KREEGER FOUNDATION,2,2,1260
DAVIS AGNOR RAPAPORT & SKALNY,DAVIS AGNOR RAPAPORT & SKALNY LLC,DAVIS AGNOR RAPAPORT & SKALNY LLC,2,2,2500
DAVIS POLK & WARDWELL LLP,DAVIS POLK & WARDWELL LLP,DAVIS POLK & WARDWELL LLP,2,2,1191.82
DAVIS WRIGHT TREMAINE LLP,DAVIS WRIGHT TREMAINE LLC,DAVIS WRIGHT TREMAINE LLC,2,2,600
DAYS COVE RECLAMATION,DAYS COVE RECLAMATION,DAYS COVE RECLAMATION,2,2,3600
DCI GROUP,DCI GROUP,DCI GROUP,2,2,750
DELAWARE ELEVATOR,DELAWARE ELEVATOR,DELAWARE ELEVATOR,2,2,750
DEMOCRACY FUND,DEMOCRACY FUND,DEMOCRACY FUND,2,2,200
DEMOCRACY FUND VOICE,DEMOCRACY FUND,DEMOCRACY FUND,2,2,1750
DENTONS,DENTONS,DENTONS,2,2,1250
DEPARTMENT OF EDUCATION,US GOV,US DEPARTMENT OF EDUCATION,2,2,325
DEPARTMENT OF ENERGY,US GOV,DEPARTMENT OF ENERGY,2,2,550
DEPARTMENT OF THE ARMY,US GOV,DEPARTMENT OF THE ARMY,2,2,625
DEPARTMENT OF VETERANS AFFAIRS,US GOV,DEPARTMENT OF VETERANS AFFAIRS,2,2,1125
DEPARTMENTOF DEFENSE,US GOV,DEPARTMENT OF DEFENSE,2,2,425
DEPT OF EDUCATION,DEPT OF EDUCATION,DEPT OF EDUCATION,2,2,1285
DEPT OF JUSTICE,DEPT OF JUSTICE,DEPT OF JUSTICE,2,2,13200
DEPT. OF STATE,DEPT. OF STATE,DEPT. OF STATE,2,2,28
DOJ,DOJ,DOJ,2,2,15
DUKE UNIVERSITY,DUKE UNIVERSITY,DUKE UNIVERSITY,2,2,6658.27
DULLES GOLF CENTER & SPORTS PARK,DULLES GOLF CENTER & SPORTS PARK,DULLES GOLF CENTER & SPORTS PARK,2,2,750
EAGLE SOLAR GROUP,EAGLE SOLAR GROUP,EAGLE SOLAR GROUP,2,2,733.27
ECHOSTAR,ECHOSTAR,ECHOSTAR,2,2,1441
EGPAF,EGPAF,EGPAF,2,2,1200
EISEN AND ROME PC,EISEN AND ROME P.C.,EISEN AND ROME P.C.,2,2,1100
ENTERPRISE COMMUNITY PARTNERS,ENTERPRISE COMMUNITY PARTNERS,ENTERPRISE COMMUNITY PARTNERS,2,2,400
ERICKSON SENIOR LIVING,ERICKSON SENIOR LIVING,ERICKSON SENIOR LIVING,2,2,3550
ERNIE'S RECYCLING INC,ERNIE'S RECYCLING INC,ERNIE'S RECYCLING INC,2,2,1900
EXIT LANDMARK REALTY-CLINTON,EXIT LANDMARK REALTY-CLINTON,EXIT LANDMARK REALTY-CLINTON,2,2,225
EXPERIENCE PRINC GEORGES,EXPERIENCE PRINC GEORGES,EXPERIENCE PRINC GEORGES,2,2,875
EXPLORE,EXPLORE,EXPLORE,2,2,1304.01
EYA,EYA,EYA,2,2,4300
FAA,FAA,FAA,2,2,881.83
FCC,FCC,FCC,2,2,350
FDIC,FDIC,FDIC,2,2,575
FED,FED,FED,2,2,67.5
FEDERAL COMMUNICATIONS COMMISSION,FEDERAL COMMUNICATIONS COMMISSION,FEDERAL COMMUNICATIONS COMMISSION,2,2,375
FEDERAL GOVT,US GOV,FEDERAL GOV'T,2,2,1050
FEDERAL STREET STRATEGIES LLC,FEDERAL STREET STRATEGIES,FEDERAL STREET STRATEGIES,2,2,1800
FEDERAL TRADE COMMISSION,FEDERAL TRADE COMMISSION,FEDERAL TRADE COMMISSION,2,2,300
FGS GLOBAL,FGS GLOBAL,FGS GLOBAL,2,2,2500
FGS LLC,FGS LLC,FGS LLC,2,2,75
FI INVESTMENT GROUP,FI INVESTMENT GROUP,FI INVESTMENT GROUP,2,2,9900
FIBERSAT TELECOMMUNICATIONS CORP,FIBERSAT TELECOMMUNICATIONS CORP,FIBERSAT TELECOMMUNICATIONS CORP,2,2,1525
FIBERSAT TELECOMMUNICATIONS CORP.,FIBERSAT TELECOMMUNICATIONS CORP,FIBERSAT TELECOMMUNICATIONS CORP,2,2,1725
FIDELITY ENGINEERING,FIDELITY ENGINEERING,FIDELITY ENGINEERING,2,2,3500
FIDELITY INVESTMENTS,FIDELITY INVESTMENTS,FIDELITY INVESTMENTS,2,2,1500
FINRA,FINRA,FINRA,2,2,720
FIRST FINANCIAL GROUP,FIRST FINANCIAL GROUP,FIRST FINANCIAL GROUP,2,2,1125
FITZ AUTO MALLS,FITZ AUTO MALLS,FITZ AUTO MALLS,2,2,500
FOCUSDC,FOCUSDC,FOCUSDC,2,2,1500
FRANCISCAN MONASTERY,FRANCISCAN MONASTERY,FRANCISCAN MONASTERY,2,2,283.27
FROSTBURG STATE UNIVERSITY,FROSTBURG STATE UNIVERSITY,FROSTBURG STATE UNIVERSITY,2,2,550
FTI CONSULTING LLP,FTI CONSULTING,FTI CONSULTING LLP,2,2,750
GAINES & CO.,GAINES & CO.,GAINES & CO.,2,2,7600
GB DEVELOPMENT CONSULTING COMPANY,GB DEVELOPMENT CONSULTING COMPANY,GB DEVELOPMENT CONSULTING COMPANY,2,2,6600
GBMC,GBMC,GBMC,2,2,460
GEORGETOWN,GEORGETOWN,GEORGETOWN,2,2,150
GEORGETOWN UNIVERSITY LAW CENTER,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY LAW CENTER,2,2,2350
GIANT,GIANT,GIANT,2,2,78
GIBSON DUNN,GIBSON DUNN,GIBSON DUNN,2,2,2000
GINGERY DEVELOPMENT,GINGERY DEVELOPMENT,GINGERY DEVELOPMENT,2,2,4341.02
GLAXOSMITHKLINE,GLAXO SMITH KLINE PLC,GLAXOSMITHKLINE,2,2,91
GMMB,GMMB,GMMB,2,2,1500
GOOD SUCCESS CHURCH,GOOD SUCCESS CHURCH,GOOD SUCCESS CHURCH,2,2,350
GOODWIN PROCTER LLP,GOODWIN PROCTER LLP,GOODWIN PROCTER LLP,2,2,3550
GOOGLE,GOOGLE,GOOGLE,2,2,372.73
GOUCHER COLLEGE,GOUCHER COLLEGE,GOUCHER COLLEGE,2,2,750
GOULSTON & STORRS PC,GOULSTON & STORRS PC,GOULSTON & STORRS PC,2,2,375
GRAPHICS BY CHALK,GRAPHICS BY CHALK,GRAPHICS BY CHALK,2,2,3165
GREATER BALTIMORE MEDICAL CENTER,GREATER BALTIMORE MEDICAL CENTER,GREATER BALTIMORE MEDICAL CENTER,2,2,873.47
HARDWIRE LLC,HARDWIRE LLC,HARDWIRE LLC,2,2,6600
HARRIS WILTSHIRE & GRANNIS LLP,HARRIS WILTSHIRE & GRANNIS LLP,HARRIS WILTSHIRE & GRANNIS LLP,2,2,1250
HENRY JACKSON FOUNDATION,HENRY JACKSON FOUNDATION,HENRY M JACKSON FOUNDATION,2,2,900
HENRY M JACKSON FOUNDATION,HENRY M JACKSON FOUNDATION,HENRY M JACKSON FOUNDATION,2,2,1050
HENRY M. JACKSON FOUNDATION,HENRY M JACKSON FOUNDATION,HENRY M JACKSON FOUNDATION,2,2,1250
HERITAGE PARTNERS,HERITAGE PARTNERS,HERITAGE PARTNERS,2,2,1000
HILLTOP GARDENS,HILLTOP GARDENS,HILLTOP GARDENS,2,2,1100
HILLTOP PUBLIC SOLUTIONS,HILLTOP PUBLIC SOLUTIONS,HILLTOP PUBLIC SOLUTIONS,2,2,2000
HILTON,HILTON,HILTON,2,2,5800
HLP&R ADVOCACY LLC,HLP&R ADVOCACY LLC,HLP&R ADVOCACY LLC,2,2,1750
"HOLLAND & KNIGHT, LLP",HOLLAND & KNIGHT LLP,HOLLAND & KNIGHT LLP,2,2,2000
HOLY CROSS HOSPITAL,HOLY CROSS HOSPITAL,HOLY CROSS HOSPITAL,2,2,3382.96
"HOUSING, INC.","HOUSING, INC.","HOUSING, INC.",2,2,13200
HOWARD COUNTY PUBLIC SCHOOLS,HOWARD COUNTY,HOWARD COUNTY PUBLIC SCHOOL SYSTEM,2,2,708.2
HOWARD UNIVERSITY HOSPITAL,HOWARD UNIVERSITY,HOWARD UNIVERSITY HOSPITAL,2,2,1000
HYATT AND WEBER,HYATT AND WEBER,HYATT AND WEBER,2,2,4000
HYMAN PHELPS & MCNAMARA PC,HYMAN PHELPS & MCNAMARA PC,HYMAN PHELPS & MCNAMARA PC,2,2,3673.33
IAVI,IAVI,IAVI,2,2,1100
IBM CORP,IBM CORP,IBM CORP,2,2,128
ICPRB,ICPRB,ICPRB,2,2,1050
IMPACT HEALTH POLICY PARTNERS,IMPACT HEALTH POLICY PARTNERS,IMPACT HEALTH POLICY PARTNERS,2,2,750
IMRE LLC,IMRE LLC,IMRE LLC,2,2,1250
INCPSULATE,INCPSULATE,INCPSULATE,2,2,150
INDEPENDENT,INDEPENDENT,INDEPENDENT,2,2,708.2
INSTACART,INSTACART,INSTACART,2,2,750
INTEL CORP,INTEL CORP,INTEL CORP,2,2,3650
INTERFAITH CONFERENCE,INTERFAITH CONFERENCE,INTERFAITH CONFERENCE,2,2,288
INTERNAL REVENUE SERVICE,INTERNAL REVENUE SERVICE,INTERNAL REVENUE SERVICE,2,2,1000
INTRAMURAL RESEARCH PROGRAM,INTRAMURAL RESEARCH PROGRAM,INTRAMURAL RESEARCH PROGRAM,2,2,995
INVESTMENT COMPANY INSTITUTE,INVESTMENT COMPANY INSTITUTE,INVESTMENT COMPANY INSTITUTE,2,2,1500
IOM,IOM,IOM,2,2,2250
ITA INTERNATIONAL LLC,ITA INTERNATIONAL LLC,ITA INTERNATIONAL LLC,2,2,5500
J STREET,J STREET,J STREET,2,2,500
J.A. GREEN & CO.,J.A. GREEN & CO.,J.A. GREEN & CO.,2,2,1500
JA GREEN & CO,J.A. GREEN & CO.,J.A. GREEN & CO.,2,2,3000
JAMES MAGNO CPA LLC,JAMES MAGNO CPA LLC,JAMES MAGNO CPA LLC,2,2,172
JANIS WARREN,JANIS WARREN,JANIS WARREN,2,2,1500
JHPIEGO,JHPIEGO,JHPIEGO,2,2,150
JOHN DRIGGS CO,JOHN DRIGGS CO,JOHN DRIGGS CO,2,2,4600
JOHN HOPKINS UNIVERSITY,JOHN HOPKINS UNIVERSITY,JOHN'S HOPKINS UNIVERSITY,2,2,400
JOHNS HOPKINS UNIV APPLIED PHYSICS LAB,JOHNS HOPKINS,JOHNS HOPKINS APPLIED PHYSICS LAB,2,2,859.27
JOHNS HOPKINS UNIVERSITY APPLIED PHYSI,JOHNS HOPKINS,JOHNS HOPKINS UNIVERSITY APPLIED PHYS.,2,2,1500
JOHNSHOPKINS HEART CARE,JOHNS HOPKINS,JOHNS HOPKINS HEART CARE,2,2,250
JOHNSON & JOHNSON,JOHNSON & JOHNSON,JOHNSON & JOHNSON,2,2,600
JOI STRATEGIES,JOI STRATEGIES,JOI STRATEGIES,2,2,850
JOSPIN STRATEGIC,JOSPIN STRATEGIC,JOSPIN STRATEGIC,2,2,4000
JP MORGAN CHASE,JP MORGAN CHASE,JP MORGAN CHASE,2,2,1250
JUDY MARSHALL,JUDY MARSHALL,JUDY MARSHALL,2,2,350
KALMANOVITZ INTIATIVE FOR LABOR,KALMANOVITZ INTIATIVE FOR LABOR,KALMANOVITZ INTIATIVE FOR LABOR,2,2,550
KATZ BANKS KUMIN,KATZ BANKS KUMIN,KATZ BANKS KUMIN,2,2,500
KELLEY DRYE & WARREN LLP,KELLEY DRYE & WARREN LLP,KELLEY DRYE & WARREN LLP,2,2,4550
KELLY,KELLY,KELLY,2,2,1260
KEYPOINT HEALTH SERVICES,KEYPOINT HEALTH SERVICES,KEYPOINT HEALTH SERVICES,2,2,167
KO PUBLIC AFFAIRS LLC,KO PUBLIC AFFAIRS LLC,KO PUBLIC AFFAIRS LLC,2,2,1500
KOCH,KOCH,KOCH,2,2,6735.35
KPMG LLP,KPMG LLP,KPMG LLP,2,2,533.27
KRAMON & GRAHAM P.A.,KRAMON & GRAHAM P.A.,KRAMON & GRAHAM P.A.,2,2,300
KXWT PUBLIC RADIO,KXWT PUBLIC RADIO,KXWT PUBLIC RADIO,2,2,371.67
LA PEREZ CONSULTING LLC,LA PEREZ CONSULTING,LA PEREZ CONSULTING,2,2,350
LAPINE GROUP,LAPINE GROUP,LAPINE GROUP,2,2,12000
LAPINE GROUP INC,LAPINE GROUP INC,LAPINE GROUP,2,2,2500
LATHAM & WATKINS LLP,LATHAM & WATKINS LLP,LATHAM & WATKINS LLP,2,2,2554
LAW FIRM,LAW FIRM,LAW FIRM,2,2,425
LAW OFFICE OF JOHN A. DEVIERNO,LAW OFFICE OF JOHN A. DEVIERNO,LAW OFFICE OF JOHN A. DEVIERNO,2,2,1500
LAW OFFICES OF PETER ANGELOS,LAW OFFICES OF PETER ANGELOS,LAW OFFICES OF PETER ANGELOS,2,2,287
LEBE GROUP LLC,LEBE GROUP LLC,LEBE GROUP LLC,2,2,1700
LEE BUILDING MAINTENANCE,LEE BUILDING MAINTENANCE,LEE BUILDING MAINTENANCE,2,2,800
LEGAL AID DC,LEGAL AID DC,LEGAL AID DC,2,2,6250
